,word,score
0,あがく,-1
1,あきらめる,-1
2,あきる,-1
3,あきれる,-1
4,あせる,-1
5,あなどる,-1
6,あやしむ,-1
7,あやぶむ,-1
8,あやまる,-1
9,あらそ,-1
10,あわてる,-1
11,いたたまれない,-1
12,いたむ,-1
13,いつわる,-1
14,いらだたしい,-1
15,いら立つ,-1
16,うつうつ,-1
17,うなだれる,-1
18,うなる,-1
19,うらむ,-1
20,うんざり,-1
21,おちいる,-1
22,おぼれる,-1
23,かさばる,-1
24,かなう,-1
25,かなしむ,-1
26,がたつく,-1
27,がっくり,-1
28,くさる,-1
29,くずれる,-1
30,くたびれる,-1
31,くやむ,-1
32,くるしむ,-1
33,けだるい,-1
34,こじらせる,-1
35,こそばゆい,-1
36,こたえる,-1
37,こぼす,-1
38,こまる,-1
39,こりる,-1
40,こわさ,-1
41,さじ,-1
42,しから,-1
43,しくじる,-1
44,しょぼくれる,-1
45,しょんぼり,-1
46,しんみり,-1
47,せんない,-1
48,たおれる,-1
49,ためらう,-1
50,だま,-1
51,だます,-1
52,だれる,-1
53,ちがう,-1
54,つぶす,-1
55,つぶれる,-1
56,つまずく,-1
57,つらい,-1
58,とがめる,-1
59,なやむ,-1
60,ねじれる,-1
61,のぼせる,-1
62,はげる,-1
63,はずかしい,-1
64,ばつ,-1
65,ひきつる,-1
66,ひっかかる,-1
67,ひもじい,-1
68,びびる,-1
69,ふらつく,-1
70,ぶつかる,-1
71,ぶれる,-1
72,ぼける,-1
73,まごつく,-1
74,むかっと,-1
75,むかつく,-1
76,むせる,-1
77,むせ返る,-1
78,めくら,-1
79,もたつく,-1
80,もだえる,-1
81,もつれる,-1
82,もてあます,-1
83,やつれる,-1
84,やむない,-1
85,やむをえない,-1
86,ゆがむ,-1
87,ゆきづまる,-1
88,よごす,-1
89,よごれる,-1
90,わすれる,-1
91,ガックリ,-1
92,ストレス,-1
93,ツライ,-1
94,ビビる,-1
95,ポシャる,-1
96,阿鼻叫喚,-1
97,意気,-1
98,引っ掛かる,-1
99,引っ繰り返る,-1
100,厭う,-1
101,怨む,-1
102,汚さ,-1
103,汚す,-1
104,汚れる,-1
105,臆する,-1
106,苛,-1
107,苛苛,-1
108,苛立つ,-1
109,我慢,-1
110,餓える,-1
111,壊さ,-1
112,壊れる,-1
113,怪しむ,-1
114,悔しい,-1
115,悔やむ,-1
116,渇く,-1
117,堪えがたい,-1
118,堪える,-1
119,堪え難い,-1
120,干からびる,-1
121,患い,-1
122,患う,-1
123,憾む,-1
124,間違う,-1
125,陥る,-1
126,危ぶむ,-1
127,忌み,-1
128,忌み嫌う,-1
129,機嫌,-1
130,気,-1
131,気がかり,-1
132,気まずい,-1
133,気持ち,-1
134,飢える,-1
135,偽る,-1
136,疑う,-1
137,詰まる,-1
138,逆らえ,-1
