,word,score
0,２，３日,0
1,10%,0
2,100%,0
3,25%,0
4,80%,0
5,１０カ月,0
6,１０時間,0
7,１０数年,0
8,１０年以上,0
9,１０年近く,0
10,１１ヶ月,0
11,１１年,0
12,１２年,0
13,１３年,0
14,１４年,0
15,１５秒,0
16,１６年,0
17,１７年,0
18,１９年,0
19,１バイト,0
20,１位,1
21,１割,0
22,１時間以上,0
23,１時間以内,0
24,１時間半,0
25,１周年記念,1
26,１週間以上,0
27,１勝,1
28,１体,0
29,１通,0
30,１日分,0
31,１年近く,0
32,１番,1
33,１品,0
34,１文,0
35,２０年以上,0
36,２０年近く,0
37,２３時間,0
38,２か月,0
39,２ヵ月,0
40,２位,0
41,２階席,0
42,２件目,0
43,２時間,0
44,２時間以上,0
45,２時間半,0
46,２次感染,-1
47,２失点,-1
48,２勝１敗,0
49,２択,0
50,２日,0
51,２年近く,0
52,２年半,0
53,３０分位,0
54,３０分程度,0
55,３４年,0
56,３５年,0
57,３９歳,0
58,３Ｒ,0
59,３か月,0
60,３タテ,0
61,３チーム,0
62,３位,0
63,３回連続,0
64,３割負担,0
65,３週間,0
66,３酔い,0
67,３連打,0
68,３連敗,-1
69,４か月,0
70,４回目,0
71,４時間,0
72,４日,0
73,４年,0
74,５０日,0
75,５０年以上,0
76,６００円,0
77,６年,0
78,７ヶ月,0
79,７年,0
80,７番,0
81,８カ月,0
82,８ヶ月,0
83,８割,0
84,９ヶ月,0
85,９年,0
86,９番,0
87,ＡＤ,0
88,ＡＩＤＳ,-1
89,ＡＴフィールド,1
90,Ａｍａｚｏｎ,0
91,Ａ型肝炎,-1
92,ＢＢＣ,0
93,ＢＩＧ,1
94,ＢＯＴ,-1
95,ＢＳＥ,-1
96,ＣＤ,0
97,ＣＮＮ,0
98,Ｃ型肝炎,-1
99,ＤＶ,-1
100,ＤＶＤ化,0
101,ＤｏＳ,0
102,ＥＤ,-1
103,ＥＳ,0
104,ＦＡＱ,0
105,ＨＩＶ,-1
106,ＨＩＶ感染,-1
107,ＨＰ,0
108,ＨＴＭＬ,0
109,ＩＴ化,0
110,ＩＴ投資,0
111,ＫＯ,1
112,ＭＲＳＡ,0
113,ＮＧ,-1
114,ＯＫ,0
115,ＯＬ,0
116,ＯＰＡＣ,0
117,ＰＭＳ,-1
118,ＰＲ,0
119,ＰＴＳＤ,-1
120,Ｑ＆Ａ,0
121,ＲＡＭ,0
122,ＲＦＣ,0
123,ＲＳＳ,0
124,ＳＡＲＳ,-1
125,ＳＥ,0
126,ＳＰＡＭ,0
127,ＳＱＬ,0
128,ＳＳ,0
129,ＴＫＯ,-1
130,Ｖｅｃｔｏｒ,0
131,ＷＷＥ,0
132,Ｗｅｂ検索,0
133,Ｗｉｎｎｙ,0
134,ｃｏｒｅ,0
135,ｅｎｄ,0
136,ｈｔｍｌ,0
137,ｈｔｔｐ,0
138,ｔｘｔ,0
139,あいさつ,0
140,あいだ,0
141,あいつら,0
142,あいまい,-1
143,あいまいさ,0
144,あえぎ,0
145,あかし,0
146,あからさま,-1
147,あきらめ,-1
148,あく,0
149,あく抜け,1
150,あこがれ,1
151,あご,0
152,あざやか,1
153,あし,0
154,あせも,-1
155,あたしたち,0
156,あたたかさ,1
157,あだ,-1
158,あだおろそか,-1
159,あだおろそか・あだやおろそか,-1
160,あだやおろそか,-1
161,あちら,0
162,あっさり,0
163,あっし,0
164,あっぱれ,1
165,あでやか,1
166,あどけなさ,1
167,あなたがた,0
168,あなたらしさ,1
169,ありがたさ,1
170,ありがたみ,1
171,ありがた迷惑,-1
172,ありのまま,0
173,あるがまま,0
174,あわ,0
175,あんばい,0
176,いい加減,0
177,いい気持ち,1
178,いい気持ち／気分,1
179,いい気分,1
180,いかがわしさ,-1
181,いかさま,-1
182,いさかい,-1
183,いざこざ,-1
184,いざとい,0
185,いじめ,-1
186,いじらしさ,1
187,いたずら,-1
188,いたずら電話,-1
189,いたちごっこ,0
190,いたみ,-1
191,いたわり,1
192,いっさい,0
193,いっぱい,0
194,いとしさ,1
195,いのち,1
196,いばらの道,-1
197,いびき,-1
198,いびり,-1
199,いぼ,-1
200,いやおう,0
201,いやらしさ,-1
202,いらいら,-1
203,いらだち,-1
204,いろんなの,0
205,いわれ,0
206,うかうか,-1
207,うかつ,-1
208,うがい,0
209,うさ,-1
210,うさんくささ,-1
211,うずき,-1
212,うそ,-1
213,うそっぱち,-1
214,うそ偽り,-1
215,うそ八百,-1
216,うたぐり,-1
217,うたた寝,0
218,うだうだ,-1
219,うっかり,-1
220,うっちゃり,0
221,うってつけ,1
222,うっぷん,-1
223,うっ血,-1
224,うつ,-1
225,うつ状態,-1
226,うつ病,-1
227,うつ伏せ,0
228,うなじ,0
229,うねり,0
230,うぶ,0
231,うまさ,1
232,うまみ,1
233,うま味,1
234,うらみ,-1
235,うらやみ,-1
236,うるささ,-1
237,うれしがらせ,0
238,うれしさ,1
239,うろ覚え,0
240,うわさ,0
241,えぐみ,-1
242,えびす顔,0
243,えんま顔,0
244,えん罪,-1
245,おいしさ,1
246,おいてきぼり,-1
247,おいてけぼり,-1
248,おおまか,0
249,おかげ,1
250,おかしさ,0
251,おかぼれ,1
252,おかめ,0
253,おけら,0
254,おこづかい,1
255,おざなり,-1
256,おしさ,-1
257,おしゃれ,1
258,おじけ,-1
259,おせっかい,-1
260,おそれ,-1
261,おぞましさ,-1
