word,score
絡む,-0.005008769
労働生産性,-0.001821299
文行,-0.00874744
表される,0
園,-0.019770488
遂げる,0.007182963
恐怖症,0.024039374
上院,0.017038021
下さない,0.005590859
高見,-0.002597246
國,0.014342672
全日本,0.0006785
幸利,0.016567111
圏,0.002025202
上陸,1.0595E-05
ソーラー,-0.011576928
光学機器,0.016283712
変わらない,0.019168504
小田急,0.014228674
製鋼,-0.014622098
銅地金,-0.016983784
イニシアチブ,0.012185485
切り抜ける,0.018753355
無罪,-0.00739927
期末,0.002615825
ダンス,0.001471383
気前,0
熊谷組,0.004854768
圷,-0.002847981
東京メトロ,0.000370325
東武,-0.026311028
中心,0.013090389
ユーティリティ,-0.013223301
まん延する,-0.008269496
俊輔,0.003787051
貨物,-0.004721078
集まるだろう,0.001375831
整備新幹線,-0.005935658
海産物,-0.007012607
惜しまない,-0.002799208
需給動向,0.03348484
互換性,0.007555087
音響機器,0.00375651
組閣,0.000437219
ローズ,0.008087573
株価指数先物,0.009055537
両論,-0.031084202
井,-0.004847953
絶対,0.007086803
部屋,-0.018696917
デフレ,0.001409448
部局,-0.001599346
亜,0.042511757
森,0.006106753
マーケティング,-0.014335921
断ち切る,-0.00876253
棒,-0.029699492
飾られる,-0.007567678
亨,0.01080583
時期,0.026814394
ノース,-0.002105254
亭,-0.007732761
京,-0.022039044
シカ,-0.009190649
棟,-0.025576521
疲労,-0.014546184
ブレーク,0.02207181
北朝鮮,0.008630233
設定,0.01622049
人,-0.015277047
アンバー,0.00949804
通例,-0.017412125
ゆがめる,-0.002713678
商戦,-0.000607939
濃い,-0.006203564
試すだろう,0.005186576
対価,-0.000690862
外交,0.019047072
中国語,0.00518104
比率,0.004787677
合わない,0.020860024
主戦,-0.009922143
金融商品,-0.000820458
判決,-0.009347812
対照,-0.025529001
いいる,0.009050346
来月,-0.009487031
盛り上げる,0.02209001
見せ始める,0.006334297
ブックス,0.017936745
無傷,-0.006453025
凌ぐ,0.003476102
ターム,0.000170781
徳島,0.03665914
圧縮,0.010842079
良品,0.008604339
返せる,0.002517776
切り込む,3.76213E-05
ターン,0.00342058
伸びない,0.009894115
即効,0.012734342
首席,-0.017064439
映る,-0.037547452
入院,-0.023148723
おもちゃ,-0.006028961
行儀,0
部長,-0.0010774
認められる,0.000250224
受注,0.191223794
寸前,-0.034459585
つぶす,-0.019391117
ブロー,-0.012009452
後遺症,-0.013035208
進められない,-0.003613794
与野党,0.02075834
鈍る,0.036687164
とうた,0.00740601
お話,-0.009804834
沸き起こる,0
害する,-0.01938983
むける,0.003415761
安田,0.00538628
ほる,0.006001204
貸出,0.022794292
重たい,0.004006182
通さない,-0.018263365
ポリプロピレン,0.015326303
希望,0.001478142
目当て,-0.010023487
反騰,0.027400811
